expiry,strike,mid_c,bid_c,ask_c,mid_p,bid_p,ask_p,parity_ok,parity_severity
2026-09-08,670.0,103.13,102.45,103.81,0.005,0.0,0.01,False,mid_only
2026-09-08,690.0,83.145,82.47,83.82,0.015,0.01,0.02,False,mid_only
2026-09-08,695.0,78.15,77.47,78.83,0.015,0.01,0.02,False,mid_only
2026-09-08,700.0,73.145,72.52,73.77,0.015,0.01,0.02,False,mid_only
2026-09-08,705.0,68.155,67.48,68.83,0.015,0.01,0.02,False,mid_only
2026-09-08,710.0,63.16,62.48,63.84,0.015,0.01,0.02,False,mid_only
2026-09-08,715.0,58.155,57.53,58.78,0.025,0.02,0.03,False,mid_only
2026-09-08,718.0,55.17,54.49,55.85,0.025,0.02,0.03,False,mid_only
2026-09-08,719.0,54.17,53.49,54.85,0.025,0.02,0.03,False,mid_only
2026-09-08,720.0,53.165,52.54,53.79,0.025,0.02,0.03,False,mid_only
2026-09-08,721.0,52.17,51.49,52.85,0.025,0.02,0.03,False,mid_only
2026-09-08,722.0,51.17,50.49,51.85,0.025,0.02,0.03,False,mid_only
2026-09-08,723.0,50.175,49.5,50.85,0.025,0.02,0.03,False,mid_only
2026-09-08,724.0,49.175,48.5,49.85,0.025,0.02,0.03,False,mid_only
2026-09-08,725.0,48.175,47.5,48.85,0.035,0.03,0.04,False,mid_only
2026-09-08,726.0,47.205,46.55,47.86,0.035,0.03,0.04,False,mid_only
2026-09-08,727.0,46.18,45.5,46.86,0.035,0.03,0.04,False,mid_only
2026-09-08,728.0,45.175,44.55,45.8,0.035,0.03,0.04,False,mid_only
2026-09-08,729.0,44.185,43.51,44.86,0.035,0.03,0.04,False,mid_only
2026-09-08,730.0,43.27,42.86,43.68,0.035,0.03,0.04,False,mid_only
2026-09-08,731.0,42.185,41.51,42.86,0.035,0.03,0.04,False,mid_only
2026-09-08,732.0,41.18,40.56,41.8,0.035,0.03,0.04,False,mid_only
2026-09-08,733.0,40.19,39.51,40.87,0.035,0.03,0.04,False,mid_only
2026-09-08,734.0,39.19,38.57,39.81,0.045,0.04,0.05,False,mid_only
