date,expiry_date,final_pnl,trade_return,equity,drawdown,drawdown_pct
2022-01-03,2022-02-02,-71.51638838461076,-0.04051548054481396,99928.48361161539,0.0,0.0
2022-02-15,2022-03-17,118.13998552673502,0.0557232021710667,100046.62359714213,0.0,0.0
2022-03-30,2022-04-29,-374.4910765177601,-0.16183466537766805,99672.13252062436,-374.49107651776285,-0.0037431655667434782
2022-05-12,2022-06-11,37.90089197828047,0.015375373217851216,99710.03341260264,-336.59018453948374,-0.0033643332722035346
2022-06-27,2022-07-27,-906.3210022682447,-0.34693162031120167,98803.7124103344,-1242.9111868077307,-0.012423319669562893
2022-08-09,2022-09-08,-11.191337650397145,-0.005334462566204884,98792.521072684,-1254.1025244581251,-0.012535180892340958
2022-09-21,2022-10-21,172.73576433091648,0.08119671944111197,98965.25683701492,-1081.3667601272027,-0.010808628229989514
2022-11-02,2022-12-02,-187.08722234994684,-0.08100401682511256,98778.16961466498,-1268.453982477149,-0.012678628592053598
2022-12-15,2023-01-14,-866.5852814129782,-0.4048786430555371,97911.584333252,-2135.039263890125,-0.02134044295674875
2023-01-31,2023-03-02,-618.8110160851195,-0.31654293201177974,97292.77331716688,-2753.850279975246,-0.027525669342567505
2023-03-15,2023-04-14,-202.4093695063675,-0.11561173669758153,97090.36394766052,-2956.25964948161,-0.029548819772125312
2023-04-27,2023-05-27,-494.4152351344744,-0.3033044086688615,96595.94871252605,-3450.674884616077,-0.034490668056034735
2023-06-09,2023-07-09,-485.3913348327437,-0.31248034602637165,96110.5573776933,-3936.066219448825,-0.039342319389989444
2023-07-25,2023-08-24,-179.86736611749416,-0.13119277000293492,95930.6900115758,-4115.933585566323,-0.041140154835609066
2023-09-06,2023-10-06,-161.65241561633707,-0.10759282864054835,95769.03759595947,-4277.586001182659,-0.04275592566129183
2023-10-18,2023-11-17,26.334676758362093,0.017380932334348047,95795.37227271782,-4251.251324424302,-0.042492701618225714
2023-11-30,2023-12-30,-395.81559914836294,-0.2643585626198189,95399.55667356946,-4647.066923572667,-0.0464490130350127
2024-01-16,2024-02-15,-57.75451311958159,-0.040465919443953724,95341.80216044988,-4704.8214366922475,-0.04702628901937922
2024-02-28,2024-03-29,-483.6435825796441,-0.28327099170434267,94858.15857787023,-5188.465019271898,-0.05186047097565527
2024-04-11,2024-05-11,-204.66354865963785,-0.13413078874517986,94653.4950292106,-5393.128567931533,-0.05390615269184951
2024-05-23,2024-06-22,-487.21225737195846,-0.3054089120361686,94166.28277183864,-5880.340825303487,-0.058776004765356826
2024-07-09,2024-08-08,1188.9443215776298,0.9201780100051807,95355.22709341627,-4691.39650372586,-0.046892102252412915
2024-08-20,2024-09-19,-976.8217303960455,-0.38093934690703524,94378.40536302023,-5668.218234121901,-0.056655767384475864
2024-10-02,2024-11-01,-658.8479253708815,-0.3290425838534699,93719.55743764935,-6327.066159492781,-0.06324117628366932
2024-11-13,2024-12-13,-1068.1211420587629,-0.5188819926031399,92651.43629559058,-7395.187301551545,-0.07391741006003116
2024-12-27,2025-01-26,-489.5569756415696,-0.22806996115457445,92161.87931994902,-7884.744277193109,-0.07881069838940913
2025-02-12,2025-03-14,358.544452472559,0.1758799604973361,92520.42377242158,-7526.199824720548,-0.07522692474886816
2025-03-27,2025-04-26,3459.073046656396,1.3132742556593995,95979.49681907798,-4067.12677806415,-0.04065231420943549
2025-05-09,2025-06-08,-803.5404070112877,-0.23609645753449,95175.95641206669,-4870.667185075436,-0.04868397363101584
2025-06-24,2025-07-24,-1655.0137839574334,-0.5360280436859354,93520.94262810926,-6525.680969032866,-0.06522639879692327
2025-08-06,2025-09-05,-950.0565262346745,-0.4326468023021524,92570.88610187458,-7475.7374952675455,-0.07472253661822814
2025-09-18,2025-10-18,112.86866382048697,0.0562584094555319,92683.75476569506,-7362.868831447064,-0.07359437596909957
2025-10-30,2025-11-29,-722.6118915161023,-0.2757994202320148,91961.14287417896,-8085.48072296317,-0.08081712737774127
