entry_date,expiry_date,entry_spot,final_spot,strike,entry_cost,final_pnl,trade_return,max_drawdown,number_of_hedge_trades,cumulative_hedge_turnover,cumulative_hedge_costs,hedge_turnover_ratio,capital_after_trade
2022-01-03,2022-02-02,449.4864501953125,430.3293151855469,449.49,1765.162042333593,-71.51638838461076,-0.04051548054481396,-222.83102943654217,9,97919.36819458008,10.921936819458008,55.473302646553606,99928.48361161539
2022-02-15,2022-03-17,419.7440185546875,415.0111389160156,419.74,2120.1219765521146,118.13998552673502,0.0557232021710667,-190.91681601543587,18,156446.90957641602,17.5646909576416,73.79146639045766,100046.62359714213
2022-03-30,2022-04-29,432.9404602050781,388.863037109375,432.94,2314.0349791178733,-374.4910765177601,-0.16183466537766805,-569.4727727659583,15,120874.74969482422,13.567474969482424,52.23548943106406,99672.13252062436
2022-05-12,2022-06-11,370.3069763183594,367.9097290039063,370.31,2465.038828083635,37.90089197828047,0.015375373217851216,-695.6173408657633,16,131497.32250976562,14.894732250976563,53.34492950441433,99710.03341260264
2022-06-27,2022-07-27,368.35198974609375,380.153564453125,368.35,2612.3908839882174,-906.3210022682447,-0.34693162031120167,-1297.4899558280108,17,127937.38949584961,14.52373894958496,48.97329503023432,98803.7124103344
2022-09-21,2022-10-21,359.2048034667969,356.254150390625,359.2,2127.3736860291915,172.73576433091648,0.08119671944111197,-223.38369586477893,19,174979.93936157227,19.99799393615723,82.25162345040458,98976.44817466532
2022-11-02,2022-12-02,356.80621337890625,387.3023071289063,356.81,2309.60426016734,-187.08722234994684,-0.08100401682511256,-714.1454512725559,11,89835.17224121094,10.173517224121094,38.89634851760363,98789.36095231537
2024-02-28,2024-03-29,491.4350280761719,509.330322265625,491.44,1707.3530179342738,-483.6435825796441,-0.28327099170434267,-488.8830686793078,14,102834.32083129883,11.313432083129886,60.23026272312334,98305.71736973572
2024-08-20,2024-09-19,545.779541015625,557.7755737304688,545.78,2564.2447763066857,-976.8217303960455,-0.38093934690703524,-1262.326011475258,16,174164.8607788086,19.016486077880856,67.92052864378277,97328.89563933968
2024-12-27,2025-01-26,584.9949340820312,597.7367553710938,584.99,2146.5210638141525,-489.5569756415696,-0.22806996115457445,-472.84591672949887,14,163038.94720458984,17.698894720458988,75.95497195582418,96839.33866369812
2025-03-27,2025-04-26,559.2122192382812,543.0003662109375,559.21,2633.9304465536666,3459.073046656396,1.3132742556593995,-749.5318007453193,14,171542.9774169922,18.779297741699214,65.12813489112648,100298.41171035451
